seleccion	continente	participaciones	pg	pe	pp	gf	gc	titulos
Brasil	América	22	76	19	19	237	108	5
Alemania	Europa	20	68	21	23	232	130	4
Argentina	América	18	47	17	24	152	101	3
Italia	Europa	18	45	21	17	128	77	4
Francia	Europe	16	39	14	20	136	85	2
Inglaterra	Europa	16	32	22	20	104	68	1
España	Europe	16	31	17	19	108	75	1
Países Bajos	Europa	11	30	14	11	96	52	0
Uruguay	América	14	25	13	21	89	76	2
Bélgica	Europe	14	21	10	20	69	74	0
Suecia	Europa	12	19	13	19	80	73	0
Rusia	Europa	11	19	10	16	77	54	0
México	América	17	17	15	28	62	101	0
Serbia	Europe	13	18	9	22	71	71	0
Portugal	Europa	8	17	6	12	61	41	0
Polonia	Europe	9	17	6	15	49	50	0
Suiza	Europa	12	14	8	19	55	73	0
Hungría	Europe	9	15	3	14	87	57	0
Croacia	Europa	6	13	8	9	43	33	0
República Checa	Europa	9	12	5	16	47	49	0
Austria	Europa	7	12	4	13	43	47	0
Chile	América	9	11	7	15	40	49	0
Estados Unidos	América	11	9	8	20	40	66	0
Dinamarca	Europe	6	9	6	8	31	29	0
Paraguay	América	8	7	10	10	30	38	0
Corea del Sur	Asia	11	7	10	21	39	78	0
Colombia	América	6	9	3	10	32	30	0
Rumania	Europe	7	8	5	8	30	32	0
Japón	Asia	7	7	6	12	25	33	0
Costa Rica	América	6	6	5	10	22	39	0
Camerún	África	8	5	8	13	22	47	0
Marruecos	África	6	5	7	11	20	27	0
Nigeria	África	6	6	3	12	23	30	0
Escocia	Europa	8	4	7	12	25	41	0
Senegal	África	3	5	3	4	16	17	0
Ghana	África	4	5	3	7	18	23	0
Perú	América	5	5	3	10	21	33	0
Ecuador	América	4	5	2	6	14	14	0
Bulgaria	Europe	7	3	8	15	22	53	0
Turquía	Europa	2	5	1	4	20	17	0
Australia	Oceanía	6	4	4	12	17	37	0
Irlanda	Europa	3	2	8	3	10	10	0
Irlanda del Norte	Europa	3	3	5	5	13	23	0
Túnez	África	6	3	5	10	14	26	0
Arabia Saudita	Asia	6	4	2	13	14	44	0
Irán	asia	6	3	4	11	13	31	0
Argelia	África	4	3	3	7	13	19	0
Costa de Marfil	África	3	3	1	5	13	14	0
Sudáfrica	África	3	2	4	3	11	16	0
Noruega	Europe	3	2	3	3	7	8	0
Alemania Democrática	Europa	1	2	2	2	5	5	0
Grecia	Europe	3	2	2	6	5	20	0
Ucrania	Europe	1	2	1	2	5	7	0
Gales	Europe	2	1	4	3	5	10	0
Eslovaquia	Europa	1	1	1	2	5	7	0
Eslovenia	Europe	2	1	1	4	5	10	0
Cuba	América	1	1	1	1	5	12	0
Corea del Norte	Asia	2	1	1	5	6	21	0
Bosnia y Herzegovina	Europa	1	1	0	2	4	4	0
Jamaica	América	1	1	0	2	3	9	0
Nueva Zelanda	Oceanía	2	0	3	3	4	14	0
Honduras	América	3	0	3	6	3	14	0
Angola	África	1	0	2	1	1	2	0
Israel	Asia	1	0	2	1	1	3	0
Egipto	África	3	0	2	5	5	12	0
Islandia	Europa	1	0	1	2	2	5	0
Kuwait	asia	1	0	1	2	2	6	0
Trinidad y Tobago	América	1	0	1	2	0	4	0
Bolivia	América	3	0	1	5	1	20	0
Irak	Asia	1	0	0	3	1	4	0
Togo	África	1	0	0	3	1	6	0
Catar	Asia	1	0	0	3	1	7	0
Indonesia	asia	1	0	0	1	0	6	0
Panamá	América	1	0	0	3	2	11	0
Emiratos Árabes Unidos	asia	1	0	0	3	2	11	0
China	asia	1	0	0	3	0	9	0
Canadá	América	2	0	0	6	2	12	0
Haití	América	1	0	0	3	2	14	0
R. D. del Congo	África	1	0	0	3	0	14	0
El Salvador	América	2	0	0	6	1	22	0
