pais_continente,seleccion,continente,participaciones,pg,pe,pp,goles_favor,goles_contra,titulos,pj,campeon,puntos,dg,intervalos
Brasil - América,Brasil,América,22,76,19,19,237,108,5,114,campeón,247,129,"[200,250)"
Alemania - Europa,Alemania,Europa,20,68,21,23,232,130,4,112,campeón,225,102,"[200,250)"
Argentina - América,Argentina,América,18,47,17,24,152,101,3,88,campeón,158,51,"[150,200)"
Italia - Europa,Italia,Europa,18,45,21,17,128,77,4,83,campeón,156,51,"[100,150)"
Francia - Europa,Francia,Europa,16,39,14,20,136,85,2,73,campeón,131,51,"[100,150)"
Inglaterra - Europa,Inglaterra,Europa,16,32,22,20,104,68,1,74,campeón,118,36,"[100,150)"
España - Europa,España,Europa,16,31,17,19,108,75,1,67,campeón,110,33,"[100,150)"
Países Bajos - Europa,Países Bajos,Europa,11,30,14,11,96,52,0,55,no campeón,104,44,"[50,100)"
Uruguay - América,Uruguay,América,14,25,13,21,89,76,2,59,campeón,88,13,"[50,100)"
Bélgica - Europa,Bélgica,Europa,14,21,10,20,69,74,0,51,no campeón,73,-5,"[50,100)"
Suecia - Europa,Suecia,Europa,12,19,13,19,80,73,0,51,no campeón,70,7,"[50,100)"
Rusia - Europa,Rusia,Europa,11,19,10,16,77,54,0,45,no campeón,67,23,"[50,100)"
México - América,México,América,17,17,15,28,62,101,0,60,no campeón,66,-39,"[50,100)"
Serbia - Europa,Serbia,Europa,13,18,9,22,71,71,0,49,no campeón,63,0,"[50,100)"
Portugal - Europa,Portugal,Europa,8,17,6,12,61,41,0,35,no campeón,57,20,"[50,100)"
Polonia - Europa,Polonia,Europa,9,17,6,15,49,50,0,38,no campeón,57,-1,"[0,50)"
Suiza - Europa,Suiza,Europa,12,14,8,19,55,73,0,41,no campeón,50,-18,"[50,100)"
Hungría - Europa,Hungría,Europa,9,15,3,14,87,57,0,32,no campeón,48,30,"[50,100)"
Croacia - Europa,Croacia,Europa,6,13,8,9,43,33,0,30,no campeón,47,10,"[0,50)"
República Checa - Europa,República Checa,Europa,9,12,5,16,47,49,0,33,no campeón,41,-2,"[0,50)"
Austria - Europa,Austria,Europa,7,12,4,13,43,47,0,29,no campeón,40,-4,"[0,50)"
Chile - América,Chile,América,9,11,7,15,40,49,0,33,no campeón,40,-9,"[0,50)"
Estados Unidos - América,Estados Unidos,América,11,9,8,20,40,66,0,37,no campeón,35,-26,"[0,50)"
Dinamarca - Europa,Dinamarca,Europa,6,9,6,8,31,29,0,23,no campeón,33,2,"[0,50)"
Paraguay - América,Paraguay,América,8,7,10,10,30,38,0,27,no campeón,31,-8,"[0,50)"
Corea del Sur - Asia,Corea del Sur,Asia,11,7,10,21,39,78,0,38,no campeón,31,-39,"[0,50)"
Colombia - América,Colombia,América,6,9,3,10,32,30,0,22,no campeón,30,2,"[0,50)"
Rumania - Europa,Rumania,Europa,7,8,5,8,30,32,0,21,no campeón,29,-2,"[0,50)"
Japón - Asia,Japón,Asia,7,7,6,12,25,33,0,25,no campeón,27,-8,"[0,50)"
Costa Rica - América,Costa Rica,América,6,6,5,10,22,39,0,21,no campeón,23,-17,"[0,50)"
Camerún - África,Camerún,África,8,5,8,13,22,47,0,26,no campeón,23,-25,"[0,50)"
Marruecos - África,Marruecos,África,6,5,7,11,20,27,0,23,no campeón,22,-7,"[0,50)"
Nigeria - África,Nigeria,África,6,6,3,12,23,30,0,21,no campeón,21,-7,"[0,50)"
Escocia - Europa,Escocia,Europa,8,4,7,12,25,41,0,23,no campeón,19,-16,"[0,50)"
Senegal - África,Senegal,África,3,5,3,4,16,17,0,12,no campeón,18,-1,"[0,50)"
Ghana - África,Ghana,África,4,5,3,7,18,23,0,15,no campeón,18,-5,"[0,50)"
Perú - América,Perú,América,5,5,3,10,21,33,0,18,no campeón,18,-12,"[0,50)"
Ecuador - América,Ecuador,América,4,5,2,6,14,14,0,13,no campeón,17,0,"[0,50)"
Bulgaria - Europa,Bulgaria,Europa,7,3,8,15,22,53,0,26,no campeón,17,-31,"[0,50)"
Turquía - Europa,Turquía,Europa,2,5,1,4,20,17,0,10,no campeón,16,3,"[0,50)"
Australia - Oceanía,Australia,Oceanía,6,4,4,12,17,37,0,20,no campeón,16,-20,"[0,50)"
Irlanda - Europa,Irlanda,Europa,3,2,8,3,10,10,0,13,no campeón,14,0,"[0,50)"
Irlanda del Norte - Europa,Irlanda del Norte,Europa,3,3,5,5,13,23,0,13,no campeón,14,-10,"[0,50)"
Túnez - África,Túnez,África,6,3,5,10,14,26,0,18,no campeón,14,-12,"[0,50)"
Arabia Saudita - Asia,Arabia Saudita,Asia,6,4,2,13,14,44,0,19,no campeón,14,-30,"[0,50)"
Irán - Asia,Irán,Asia,6,3,4,11,13,31,0,18,no campeón,13,-18,"[0,50)"
Argelia - África,Argelia,África,4,3,3,7,13,19,0,13,no campeón,12,-6,"[0,50)"
Costa de Marfil - África,Costa de Marfil,África,3,3,1,5,13,14,0,9,no campeón,10,-1,"[0,50)"
Sudáfrica - África,Sudáfrica,África,3,2,4,3,11,16,0,9,no campeón,10,-5,"[0,50)"
Noruega - Europa,Noruega,Europa,3,2,3,3,7,8,0,8,no campeón,9,-1,"[0,50)"
